name,dateOfBirth,dateOfDeath,nationality,description,region,groups,imageURL
Mikhail Gorbachev,1931-03-02,2022-08-30,Soviet-Russian,Last Soviet leader whose glasnost and perestroika reforms led to end of Cold War and Soviet Union's collapse. Nobel Peace Prize winner.,Europe,Politics & Military,
Nelson Mandela,1918-07-18,2013-12-05,South African,"Anti-apartheid revolutionary who became South Africa's first Black president. Symbol of reconciliation and human rights, spent 27 years imprisoned.",Africa,Politics & Military,
Aung San Suu Kyi,1945-06-19,,Burmese,"Democracy activist who spent years under house arrest, won Nobel Peace Prize. Later led Myanmar government but legacy tarnished by Rohingya crisis.",East Asia,Politics & Military,
Malala Yousafzai,1997-07-12,,Pakistani,"Education activist who survived Taliban assassination attempt. Youngest Nobel Prize winner, advocates for girls' education worldwide.",South Asia,Politics & Military,
Greta Thunberg,2003-01-03,,Swedish,Youth climate activist who inspired global climate strikes. Symbol of young generation's climate activism and urgency.,Europe,Politics & Military,
Ai Weiwei (艾未未),1957-08-28,,Chinese,Artist and activist who challenges Chinese government through art. Imprisoned and exiled for political activism and human rights advocacy.,East Asia,Visual Arts,
Desmond Tutu,1931-10-07,2021-12-26,South African,"Anglican archbishop and anti-apartheid activist. Led Truth and Reconciliation Commission, symbol of moral leadership and social justice.",Africa,Religion,
Stephen Hawking,1942-01-08,2018-03-14,British,Theoretical physicist who revolutionized understanding of black holes and cosmology despite ALS. Made complex science accessible to public.,Europe,Science,
Tim Berners-Lee,1955-06-08,,British,"Invented the World Wide Web in 1989, fundamentally transforming global communication, commerce, and information sharing.",Europe,Science,
Craig Venter,1946-10-14,,American,Led private effort to sequence human genome. Pioneer in synthetic biology and personalized medicine.,North America,Science,
Tu Youyou (屠呦呦),1930-12-30,,Chinese,"Discovered artemisinin for malaria treatment, saving millions of lives. First Chinese woman to win Nobel Prize in Physiology or Medicine.",East Asia,Science,
Jennifer Doudna,1964-02-19,,American,"Co-developed CRISPR gene editing technology, revolutionary tool for genetic engineering. Nobel Prize winner raising ethical questions about human genome editing.",North America,Science,
Toni Morrison,1931-02-18,2019-08-05,American,"Nobel Prize-winning novelist whose works explored African-American experience. Author of Beloved, Song of Solomon, and other masterworks.",North America,Literature,
Gabriel García Márquez,1927-03-06,2014-04-17,Colombian,"Nobel Prize-winning author of One Hundred Years of Solitude. Pioneer of magical realism, most influential Latin American writer of modern era.",South America,Literature,
Haruki Murakami (村上春樹),1949-01-12,,Japanese,Internationally acclaimed novelist blending surrealism with contemporary themes. Works like Norwegian Wood and 1Q84 achieved global popularity.,East Asia,Literature,
Chimamanda Ngozi Adichie,1977-09-15,,Nigerian,"Acclaimed novelist and feminist voice. Author of Americanah and Half of a Yellow Sun, TED talk on feminism viewed millions of times.",Africa,Literature,
Michael Jackson,1958-08-29,2009-06-25,American,"King of Pop whose music, dance, and videos transformed popular culture globally. Thriller remains best-selling album ever, controversial personal life.",North America,Music,
Beyoncé,1981-09-04,,American,"Global superstar who transcended music to become cultural icon. Groundbreaking visual albums, powerful performances, advocate for Black culture and feminism.",North America,Music,
Taylor Swift,1989-12-13,,American,One of best-selling music artists who evolved from country to pop to alternative. Cultural phenomenon with massive fanbase and industry influence.,North America,Music,
BTS (K-pop group representative),1990-01-01,,South Korean,"Global K-pop phenomenon that broke Western music barriers. Symbol of Korean Wave cultural influence worldwide, ARMY fanbase unprecedented in scale.",East Asia,Music,
Steven Spielberg,1946-12-18,,American,"Most commercially successful director in history. Created Jaws, E.T., Jurassic Park, Schindler's List, shaped modern blockbuster cinema.",North America,Visual Arts,
Oprah Winfrey,1954-01-29,,American,"Media mogul whose talk show dominated daytime TV. First Black female billionaire, influential philanthropist and cultural tastemaker.",North America,Economy,
Michael Jordan,1963-02-17,,American,"Greatest basketball player who globalized NBA and transformed athlete branding. Six championships, cultural icon beyond sports.",North America,Politics & Military,
Lionel Messi,1987-06-24,,Argentine,"Considered greatest footballer ever alongside Ronaldo. Won record Ballon d'Ors, led Argentina to World Cup victory in 2022.",South America,Politics & Military,
Cristiano Ronaldo,1985-02-05,,Portuguese,"Five-time Ballon d'Or winner, all-time top scorer in football history. Global brand transcending sport, rivalry with Messi defined an era.",Europe,Politics & Military,
Serena Williams,1981-09-26,,American,"Dominant tennis player with 23 Grand Slam singles titles. Broke barriers as Black woman in tennis, advocate for equality and body positivity.",North America,Politics & Military,
Usain Bolt,1986-08-21,,Jamaican,"Fastest human ever, eight-time Olympic gold medalist. World records in 100m and 200m, transcended track and field as global personality.",North America,Politics & Military,
Pope John Paul II,1920-05-18,2005-04-02,Polish,"First non-Italian pope in 455 years whose 27-year papacy influenced collapse of communism. Traveled extensively, modernized Catholic Church outreach.",Europe,Religion,
Pope Francis,1936-12-17,,Argentine,"First Latin American and Jesuit pope. Progressive on social issues, environmental advocate, emphasized mercy and inclusion over doctrine.",South America,Religion,
Dalai Lama (14th),1935-07-06,,Tibetan,"Spiritual leader of Tibetan Buddhism and symbol of Tibetan independence. Nobel Peace Prize winner, advocate for compassion and nonviolence in exile.",East Asia,Religion,
