name,dateOfBirth,dateOfDeath,nationality,description,region,groups,imageURL
Xiao He (蕭何),-257-01-01,-193-01-01,Chinese,Chief adviser to Liu Bang who designed Han governmental system and legal code; ensured smooth transition from Qin to Han.,East Asia,Politics & Military,
Han Xin (韓信),-231-01-01,-196-01-01,Chinese,Brilliant Han military strategist who won decisive battles establishing the Han Dynasty; later executed on suspicion of rebellion.,East Asia,Politics & Military,
Emperor Wu of Han (漢武帝),-156-07-14,-087-03-29,Chinese,"Greatest Han emperor who expanded empire, established Confucianism as state ideology, and opened Silk Road trade with the West.",East Asia,Politics & Military,
Sima Qian (司馬遷),-145-01-01,-086-01-01,Chinese,"Grand Historian who wrote Records of the Grand Historian, foundational history of China covering 2000+ years; endured castration to complete his work.",East Asia,Literature,
Ban Gu (班固),032-01-01,092-01-01,Chinese,"Han historian who wrote Book of Han, establishing the standard format for Chinese dynastic histories.",East Asia,Literature,
Ban Zhao (班昭),045-01-01,116-01-01,Chinese,Female scholar who completed her brother Ban Gu's Book of Han and wrote Lessons for Women; most famous female Confucian scholar.,East Asia,Literature,
Zhang Heng (張衡),078-01-01,139-01-01,Chinese,"Han polymath who invented the seismoscope (first earthquake detector), made astronomical discoveries, and advanced mathematics.",East Asia,Science,
Dong Zhuo (董卓),138-01-01,192-05-22,Chinese,Warlord whose tyranny in Luoyang precipitated the collapse of Han Dynasty and beginning of Three Kingdoms era.,East Asia,Politics & Military,
Cao Cao (曹操),155-07-18,220-03-15,Chinese,Brilliant strategist and warlord who dominated northern China; founder of Wei kingdom; portrayed as villain in Romance of Three Kingdoms but effective ruler.,East Asia,Politics & Military,
Liu Bei (劉備),161-07-16,223-06-10,Chinese,Warlord who claimed Han imperial descent and founded Shu Han kingdom; portrayed as virtuous hero in Romance of Three Kingdoms.,East Asia,Politics & Military,
Sun Quan (孫權),182-07-05,252-05-21,Chinese,Founder of Wu kingdom who controlled southern China during Three Kingdoms period; ruled longest of the three kingdoms.,East Asia,Politics & Military,
Zhuge Liang (諸葛亮),181-01-01,234-10-08,Chinese,Legendary strategist and chancellor of Shu Han; portrayed in Romance of Three Kingdoms as epitome of wisdom and loyalty.,East Asia,Politics & Military,
Guan Yu (關羽),160-01-01,220-01-01,Chinese,General of Shu Han later deified as God of War; symbol of loyalty and righteousness in Chinese culture.,East Asia,Politics & Military,
Qu Yuan (屈原),-340-01-01,-278-01-01,Chinese,"Poet and minister of Chu whose suicide by drowning inspired Dragon Boat Festival; author of Li Sao, masterpiece of classical Chinese poetry.",East Asia,Literature,
Cai Lun (蔡倫),050-01-01,121-01-01,Chinese,Han court official credited with inventing paper-making process that revolutionized writing and record-keeping worldwide.,East Asia,Science,
Wang Xizhi (王羲之),303-01-01,361-01-01,Chinese,Master calligrapher known as the Sage of Calligraphy; his Preface to the Poems Composed at the Orchid Pavilion is most revered work in Chinese calligraphy.,East Asia,Visual Arts,
Siddhartha Gautama (Buddha),-563-04-08,-483-01-01,Indian,Founder of Buddhism who taught the Middle Way and Four Noble Truths; his teachings spread across Asia becoming one of world's major religions.,South Asia,Religion,
Mahavira,-599-01-01,-527-01-01,Indian,Founder of Jainism who taught extreme non-violence and asceticism; contemporary of Buddha and last of 24 Tirthankaras.,South Asia,Religion,
Chandragupta Maurya,-340-01-01,-297-01-01,Indian,"Founded Maurya Empire, first to unify most of Indian subcontinent; grandfather of Ashoka.",South Asia,Politics & Military,
Ashoka the Great,-304-01-01,-232-01-01,Indian,Mauryan emperor who converted to Buddhism after brutal Kalinga War; spread Buddhism across Asia through missions and edicts carved in stone.,South Asia,Politics & Military,
Chanakya (Kautilya),-375-01-01,-283-01-01,Indian,"Political philosopher and royal adviser who wrote Arthashastra, treatise on statecraft, economics, and military strategy; guided Chandragupta Maurya.",South Asia,Philosophy,
Patanjali,-200-01-01,-150-01-01,Indian,"Sage who compiled the Yoga Sutras, foundational text of classical yoga philosophy and practice.",South Asia,Philosophy,
Nagarjuna,150-01-01,250-01-01,Indian,Buddhist philosopher who founded Madhyamaka school emphasizing emptiness; one of most influential Buddhist thinkers after Buddha himself.,South Asia,Philosophy,
Kalidasa,350-01-01,450-01-01,Indian,Greatest Sanskrit poet and playwright; author of Shakuntala and The Cloud Messenger; flourished during Gupta golden age.,South Asia,Literature,
Aryabhata,476-01-01,550-01-01,Indian,"Mathematician and astronomer who calculated pi accurately, understood Earth's rotation, and developed sine tables; influenced Islamic and European mathematics.",South Asia,Science,
Emperor Jimmu,-711-02-11,-585-04-09,Japanese,Legendary first emperor of Japan who established Yamato dynasty; regarded as mythical founder though historicity debated. Key figure in Shinto tradition.,East Asia,Politics & Military,
Emperor Ojin,200-01-01,310-02-15,Japanese,"Semi-legendary 15th emperor later deified as Hachiman, god of war; represents emergence of Yamato state power in early Japan.",East Asia,Politics & Military,
Empress Jingu,169-01-01,269-01-01,Japanese,Legendary empress consort and regent who supposedly led invasion of Korea; important figure in early Japanese mythology and legitimacy of imperial line.,East Asia,Politics & Military,
Prince Shotoku (聖徳太子),574-02-07,622-04-08,Japanese,"Regent who promoted Buddhism, Chinese culture, and centralized government; authored Seventeen-Article Constitution establishing ethical governance principles.",East Asia,Politics & Military,
King Gwanggaeto,374-01-01,413-10-01,Korean,Goguryeo king who greatly expanded kingdom across Manchuria and Korean peninsula; his memorial stele is major historical artifact.,East Asia,Politics & Military,
King Geunchogo,324-01-01,375-01-01,Korean,Baekje king who expanded kingdom and established formal relations with Japan and China; golden age of Baekje culture.,East Asia,Politics & Military,
Fan Shiman,205-01-01,225-01-01,Funan (Cambodian),King who expanded Funan Empire across Southeast Asia; established maritime trade networks connecting India and China.,East Asia,Politics & Military,
Zhang Qian (張騫),-164-01-01,-114-01-01,Chinese,Han diplomat whose journey to Central Asia opened the Silk Road; his reports introduced Chinese to Western regions and facilitated trade.,East Asia,Exploration & Discovery,
Gan Ying (甘英),050-01-01,110-01-01,Chinese,"Han envoy who traveled furthest west, reaching Persian Gulf; attempted to reach Rome but turned back, providing valuable geographic knowledge.",East Asia,Exploration & Discovery,
