name,dateOfBirth,dateOfDeath,nationality,description,region,groups,imageURL
Park Chung-hee (박정희),1917-11-14,1979-10-26,South Korean,"Military dictator who transformed South Korea into economic powerhouse. Authoritarian but effective, assassinated by intelligence chief.",East Asia,Politics & Military,
Deng Xiaoping (鄧小平),1904-08-22,1997-02-19,Chinese,"Chinese leader who opened China to market reforms. ""To get rich is glorious"" - transformed China into economic superpower after Mao.",East Asia,Politics & Military,
Ho Chi Minh (胡志明),1890-05-19,1969-09-02,Vietnamese,"Communist revolutionary who led Vietnam to independence from France and war against US. National hero, Saigon renamed for him.",East Asia,Politics & Military,
Lee Kuan Yew,1923-09-16,2015-03-23,Singaporean,"Founded modern Singapore, transforming it from third-world to first-world. Authoritarian but effective ""benevolent dictator.""",East Asia,Politics & Military,
Suharto,1921-06-08,2008-01-27,Indonesian,Indonesian dictator for 31 years who brought stability and economic growth but massive corruption. Resigned during 1998 financial crisis.,East Asia,Politics & Military,
Corazon Aquino,1933-01-25,2009-08-01,Filipino,"First female Philippine President who led People Power Revolution overthrowing Marcos. Restored democracy, symbol of peaceful change.",East Asia,Politics & Military,
Gamal Abdel Nasser,1918-01-15,1970-09-28,Egyptian,"Egyptian leader who nationalized Suez Canal, championed pan-Arabism. Hero to Arab world, challenged Western influence.",Middle East,Politics & Military,
Anwar Sadat,1918-12-25,1981-10-06,Egyptian,Egyptian president who made peace with Israel at Camp David. Won Nobel Prize but assassinated by Islamic extremists.,Middle East,Politics & Military,
Golda Meir,1898-05-03,1978-12-08,Israeli,"First female Prime Minister of Israel, ""Iron Lady"" who led during Yom Kippur War. Chain-smoking grandmother image, tough negotiator.",Middle East,Politics & Military,
Ayatollah Khomeini,1902-09-24,1989-06-03,Iranian,"Islamic revolutionary who overthrew Shah, established theocratic Iran. Anti-Western, issued fatwa against Rushdie, Iran-Iraq War.",Middle East,Politics & Military,
Hafez al-Assad,1930-10-06,2000-06-10,Syrian,"Syrian dictator who ruled with iron fist for 30 years. Brutal suppression of dissent, father of Bashar al-Assad.",Middle East,Politics & Military,
Muammar Gaddafi,1942-06-07,2011-10-20,Libyan,Libyan dictator known for eccentric behavior and terrorism sponsorship. Arab Spring uprising led to NATO intervention and brutal death.,Middle East,Politics & Military,
Kwame Nkrumah,1909-09-21,1972-04-27,Ghanaian,"Led Ghana to independence, first sub-Saharan African nation to do so. Pan-Africanist visionary, overthrown in coup.",Africa,Politics & Military,
Jomo Kenyatta,1897-10-20,1978-08-22,Kenyan,"Led Kenya to independence from Britain. ""Father of the Nation,"" balanced tribalism with nation-building.",Africa,Politics & Military,
Julius Nyerere,1922-04-13,1999-10-14,Tanzanian,Tanzanian president who pursued African socialism (Ujamaa). Respected elder statesman despite economic failures.,Africa,Politics & Military,
Idi Amin,1925-01-01,2003-08-16,Ugandan,"Brutal Ugandan dictator who killed 300,000+ people. Expelled Asians, bizarre personality, overthrown and exiled.",Africa,Politics & Military,
Robert Mugabe,1924-02-21,2019-09-06,Zimbabwean,"Led Zimbabwe from liberation hero to authoritarian ruler. Land seizures destroyed economy, hyperinflation, finally removed in coup.",Africa,Politics & Military,
F.W. de Klerk,1936-03-18,2021-11-11,South African,"Last apartheid-era South African president who negotiated with Mandela to end apartheid. Shared Nobel Prize, controversial legacy.",Africa,Politics & Military,
Patrice Lumumba,1925-07-02,1961-01-17,Congolese,"First Prime Minister of independent Congo, assassinated with Western involvement. Martyr of African independence, Cold War victim.",Africa,Politics & Military,
Juan Perón,1895-10-08,1974-07-01,Argentine,"Argentine populist leader with wife Evita. Peronism dominated Argentine politics for decades, mix of socialism and nationalism.",South America,Politics & Military,
Eva Perón (Evita),1919-05-07,1952-07-26,Argentine,"First Lady of Argentina, beloved by working class. ""Don't cry for me Argentina"" - died young, became political icon.",South America,Politics & Military,
Che Guevara,1928-06-14,1967-10-09,Argentine,"Revolutionary icon who fought alongside Castro. Left Cuba to spread revolution, killed in Bolivia, face became global symbol.",South America,Politics & Military,
Salvador Allende,1908-06-26,1973-09-11,Chilean,"First Marxist elected president in Latin America. Overthrown in CIA-backed coup, died in palace as Pinochet took power.",South America,Politics & Military,
Lula da Silva,1945-10-27,,Brazilian,"Working-class Brazilian president who lifted millions from poverty. Corruption scandals, imprisoned, returned to presidency. Controversial but transformative.",South America,Politics & Military,
Daniel Ortega,1945-11-11,,Nicaraguan,"Sandinista revolutionary who overthrew Somoza, now authoritarian president. From guerrilla hero to accused dictator.",South America,Politics & Military,
Hosni Mubarak,1928-05-04,2020-02-25,Egyptian,"Egyptian president for 30 years, overthrown in Arab Spring. Maintained peace with Israel, authoritarian rule, died after trial.",Middle East,Politics & Military,
Slobodan Milošević,1941-08-20,2006-03-11,Serbian,"Serbian leader who orchestrated ethnic cleansing in Yugoslav Wars. First head of state tried for genocide, died during trial.",Europe,Politics & Military,
Helmut Kohl,1930-04-03,2017-06-16,German,"German Chancellor who reunified Germany after fall of Berlin Wall. Longest-serving postwar chancellor, architect of European Union.",Europe,Politics & Military,
Tony Blair,1953-05-06,,British,British Prime Minister who modernized Labour Party. Iraq War with Bush damaged legacy despite domestic achievements.,Europe,Politics & Military,
Silvio Berlusconi,1936-09-29,2023-06-12,Italian,"Media mogul who dominated Italian politics despite scandals. Three-time prime minister, controversial ""bunga bunga"" parties, legal troubles.",Europe,Politics & Military,
Aung San Suu Kyi,1945-06-19,,Burmese,"Democracy icon who spent years under house arrest, won Nobel Prize. Led Myanmar government but legacy ruined by Rohingya genocide.",East Asia,Politics & Military,
