name,dateOfBirth,dateOfDeath,nationality,description,region,groups,imageURL
Shirin Ebadi,1947-06-21,,Iranian,"Iranian lawyer and human rights activist. First Muslim woman to win Nobel Peace Prize, advocate for democracy and women's rights.",Middle East,Politics & Military,
Osama bin Laden,1957-03-10,2011-05-02,Saudi Arabian,"Founded al-Qaeda, orchestrated September 11 attacks killing nearly 3000 people. Killed by US forces in Pakistan, defining figure of terrorism and War on Terror.",Middle East,Politics & Military,
Colin Powell,1937-04-05,2021-10-18,American,"First Black US Secretary of State and Chairman of Joint Chiefs. Led Gulf War, career complicated by Iraq War WMD claims.",North America,Politics & Military,
David Petraeus,1952-11-07,,American,"US general who led Iraq surge and Afghanistan operations. Later CIA director, career ended in scandal but reshaped counterinsurgency doctrine.",North America,Politics & Military,
Jane Goodall,1934-04-03,,British,Primatologist whose chimpanzee research revolutionized understanding of animal behavior and intelligence. Conservation advocate and UN Messenger of Peace.,Europe,Science,
E.O. Wilson,1929-06-10,2021-12-26,American,"Biologist who pioneered sociobiology and championed biodiversity. ""Darwin's natural heir,"" advocate for protecting half of Earth for nature.",North America,Science,
James Watson,1928-04-06,,American,"Co-discovered DNA double helix structure with Crick, revolutionizing biology. Nobel Prize winner, later controversial for comments on race and intelligence.",North America,Science,
Rosalind Franklin,1920-07-25,1958-04-16,British,"Chemist whose X-ray crystallography was crucial to discovering DNA structure. Contribution initially overlooked, posthumously recognized as key to discovery.",Europe,Science,
Carl Sagan,1934-11-09,1996-12-20,American,Astronomer who popularized science through Cosmos series and books. Advocated for critical thinking and searched for extraterrestrial life.,North America,Science,
Shinya Yamanaka (山中伸弥),1962-09-04,,Japanese,Nobel Prize-winning stem cell researcher who discovered induced pluripotent stem cells. Revolutionary breakthrough avoiding embryonic stem cell controversies.,East Asia,Science,
Maya Angelou,1928-04-04,2014-05-28,American,"Poet and civil rights activist whose ""I Know Why the Caged Bird Sings"" became American classic. Powerful voice for Black women's experiences.",North America,Literature,
Salman Rushdie,1947-06-19,,British-Indian,"Author whose ""Satanic Verses"" led to Iranian fatwa. Symbol of free speech versus religious censorship, survived 2022 assassination attempt.",Europe,Literature,
J.K. Rowling,1965-07-31,,British,"Created Harry Potter series, becoming world's best-selling book series. Billionaire author, later controversial for views on transgender issues.",Europe,Literature,
Stephen King,1947-09-21,,American,"Prolific horror and fiction writer with over 60 novels. ""King of Horror"" whose works adapted into countless films and TV series.",North America,Literature,
Isabel Allende,1942-08-02,,Chilean-American,"Latin America's most widely read author, known for magical realism. ""The House of the Spirits"" launched international career.",South America,Literature,
Mo Yan (莫言),1955-02-17,,Chinese,Nobel Prize-winning novelist known for vivid depictions of Chinese rural life. First Chinese citizen to win Nobel in Literature.,East Asia,Literature,
Princess Diana,1961-07-01,1997-08-31,British,Princess of Wales whose charisma and humanitarian work made her global icon. Tragic death in Paris car crash sparked unprecedented public mourning.,Europe,Politics & Military,
Robin Williams,1951-07-21,2014-08-11,American,"Beloved comedian and actor known for manic energy and emotional depth. From ""Mrs. Doubtfire"" to ""Good Will Hunting,"" tragic suicide shocked world.",North America,Visual Arts,
Audrey Hepburn,1929-05-04,1993-01-20,British-Belgian,"Iconic actress and humanitarian. From ""Breakfast at Tiffany's"" to UNICEF ambassador, epitome of elegance and grace.",Europe,Visual Arts,
Stanley Kubrick,1928-07-26,1999-03-07,American,"Perfectionist director who created ""2001,"" ""The Shining,"" ""A Clockwork Orange."" Influenced generations of filmmakers with visual mastery.",North America,Visual Arts,
Akira Kurosawa (黒澤明),1910-03-23,1998-09-06,Japanese,"Master filmmaker who influenced global cinema. ""Seven Samurai,"" ""Rashomon"" established template for action films and psychological storytelling.",East Asia,Visual Arts,
Martin Scorsese,1942-11-17,,American,"Legendary director of ""Taxi Driver,"" ""Goodfellas,"" ""The Departed."" Champion of film preservation, defined modern American cinema.",North America,Visual Arts,
Prince,1958-06-07,2016-04-21,American,"Musical genius who blended funk, rock, pop, and R&B. ""Purple Rain"" iconic, known for flamboyant style and protecting artistic control.",North America,Music,
Whitney Houston,1963-08-09,2012-02-11,American,"One of best-selling music artists ever with powerful voice. ""I Will Always Love You"" iconic, tragic struggle with addiction.",North America,Music,
Bob Marley,1945-02-06,1981-05-11,Jamaican,"Reggae legend who brought genre to worldwide audience. Rastafarian icon, songs of peace and resistance remain timeless.",North America,Music,
Freddie Mercury,1946-09-05,1991-11-24,British-Tanzanian,"Queen frontman with extraordinary vocal range and stage presence. ""Bohemian Rhapsody"" masterpiece, died of AIDS complications.",Europe,Music,
David Bowie,1947-01-08,2016-01-10,British,"Shape-shifting artist who constantly reinvented himself. From Ziggy Stardust to Thin White Duke, influenced music, fashion, and culture.",Europe,Music,
Muhammad Ali,1942-01-17,2016-06-03,American,"Greatest boxer who transcended sport as civil rights activist. ""Float like butterfly, sting like bee,"" refused Vietnam draft, global icon.",North America,Politics & Military,
Pelé,1940-10-23,2022-12-29,Brazilian,"Football legend widely considered greatest player ever before Messi/Ronaldo era. Won three World Cups, scored over 1000 goals.",South America,Politics & Military,
Diego Maradona,1960-10-30,2020-11-25,Argentine,"Football genius whose ""Hand of God"" and brilliant solo goal in 1986 World Cup epitomized his career. Flawed genius, beloved in Argentina.",South America,Politics & Military,
Tiger Woods,1975-12-30,,American,"Dominated golf like no one before, won 15 majors. Broke racial barriers, personal scandals affected legacy but comeback at 2019 Masters legendary.",North America,Politics & Military,
Kobe Bryant,1978-08-23,2020-01-26,American,"NBA legend with five championships and ""Mamba Mentality."" Tragic helicopter crash with daughter shocked world, massive global mourning.",North America,Politics & Military,
