name,dateOfBirth,dateOfDeath,nationality,description,region,groups,imageURL
Darius I,-550-01-01,-486-01-01,Persian,"Achaemenid emperor who reorganized the empire with satrapies, standardized coinage, and built the Royal Road. Invaded Greece but defeated at Marathon.",Middle East,Politics & Military,
Xerxes I,-519-01-01,-465-08-01,Persian,Persian king who led massive invasion of Greece; defeated at Salamis and Plataea. Known from Herodotus's Histories and Biblical Book of Esther.,Middle East,Politics & Military,
Mani,216-04-14,274-02-26,Persian,"Prophet and founder of Manichaeism, a major Gnostic religion blending Zoroastrian, Christian, and Buddhist elements that spread from Rome to China.",Middle East,Religion,
Scipio Africanus,-236-01-01,-183-01-01,Roman,"Roman general who defeated Hannibal at Zama, ending the Second Punic War and establishing Roman dominance in the Mediterranean.",Europe,Politics & Military,
Cato the Elder,-234-01-01,-149-01-01,Roman,"Roman statesman and historian who championed traditional Roman values and advocated destruction of Carthage with his famous ""Carthago delenda est.""",Europe,Politics & Military,
Cicero,-106-01-03,-043-12-07,Roman,"Roman statesman, orator, and philosopher whose writings on rhetoric, politics, and philosophy shaped Latin prose and Western thought.",Europe,Literature,
Julius Caesar,-100-07-12,-044-03-15,Roman,"Roman general and statesman who conquered Gaul, crossed the Rubicon, and became dictator. His assassination led to end of the Republic.",Europe,Politics & Military,
Marcus Antonius (Mark Antony),-083-01-14,-030-08-01,Roman,"Roman general and triumvir; formed alliance with Cleopatra VII, defeated by Octavian at Actium, ending the Roman Republic.",Europe,Politics & Military,
Cleopatra VII,-069-01-01,-030-08-12,Egyptian,Last active pharaoh of Ptolemaic Egypt; formed political and romantic alliances with Julius Caesar and Mark Antony to preserve Egyptian independence.,Middle East,Politics & Military,
Augustus (Octavian),-063-09-23,014-08-19,Roman,First Roman Emperor who ended civil wars and established the Pax Romana. His 40-year reign transformed Rome from republic to empire.,Europe,Politics & Military,
Tiberius,-042-11-16,037-03-16,Roman,"Second Roman Emperor, stepson of Augustus; capable administrator but reclusive ruler. Reigned during Jesus Christ's crucifixion.",Europe,Politics & Military,
Nero,037-12-15,068-06-09,Roman,"Fifth Roman Emperor notorious for tyranny, persecution of Christians, and possibly setting the Great Fire of Rome. His suicide ended the Julio-Claudian dynasty.",Europe,Politics & Military,
Vespasian,009-11-17,079-06-23,Roman,Roman Emperor who restored stability after Year of Four Emperors; began construction of Colosseum and reformed finances.,Europe,Politics & Military,
Trajan,053-09-18,117-08-09,Roman,Roman Emperor who expanded the empire to its greatest extent; renowned for administrative ability and philanthropic public works.,Europe,Politics & Military,
Hadrian,076-01-24,138-07-10,Roman,Roman Emperor who built Hadrian's Wall and the Pantheon; promoted Greek culture and traveled extensively throughout the empire.,Europe,Politics & Military,
Marcus Aurelius,121-04-26,180-03-17,Roman,Roman Emperor and Stoic philosopher; his Meditations remains a classic of philosophy. Last of the Five Good Emperors.,Europe,Philosophy,
Diocletian,244-12-22,311-12-03,Roman,"Roman Emperor who divided the empire into the Tetrarchy, reformed administration, and launched the last great persecution of Christians.",Europe,Politics & Military,
Constantine the Great,272-02-27,337-05-22,Roman,First Christian Roman Emperor who legalized Christianity with the Edict of Milan and founded Constantinople. Convened Council of Nicaea.,Europe,Politics & Military,
Julian the Apostate,331-01-01,363-06-26,Roman,Roman Emperor who attempted to restore paganism and traditional Roman religion after Constantine's Christianization; died fighting Persia.,Europe,Politics & Military,
Theodosius I,347-01-11,395-01-17,Roman,Last emperor to rule both Eastern and Western Roman empires; made Christianity the state religion and banned pagan practices.,Europe,Politics & Military,
Virgil,-070-10-15,-019-09-21,Roman,"Roman poet whose Aeneid became Rome's national epic, glorifying Roman origins and Augustus's rule. Also wrote Eclogues and Georgics.",Europe,Literature,
Horace,-065-12-08,-008-11-27,Roman,"Roman lyric poet known for his Odes, Satires, and Epistles; his phrase ""carpe diem"" (seize the day) endures.",Europe,Literature,
Ovid,-043-03-20,017-01-01,Roman,"Roman poet famous for Metamorphoses, a narrative poem of Greek and Roman mythology that profoundly influenced Western art and literature.",Europe,Literature,
Seneca the Younger,-004-01-01,065-04-01,Roman,"Stoic philosopher, statesman, and tutor to Nero; his philosophical writings and tragedies influenced medieval and Renaissance thought.",Europe,Philosophy,
Plutarch,046-01-01,120-01-01,Greek,"Greek historian and biographer whose Parallel Lives compared Greek and Roman leaders, profoundly influencing Western literature and biography.",Europe,Literature,
Tacitus,056-01-01,120-01-01,Roman,"Roman historian whose Annals and Histories provided critical accounts of the Roman Empire; known for concise, powerful prose.",Europe,Literature,
Ptolemy (Claudius Ptolemaeus),100-01-01,170-01-01,Egyptian-Greek,"Mathematician, astronomer, and geographer whose geocentric model dominated astronomy for 1400 years. His Geography mapped the known world.",Middle East,Science,
Galen,129-01-01,216-01-01,Greek,"Physician whose theories dominated Western medicine for 1300 years; made advances in anatomy, physiology, and pharmacology.",Europe,Science,
Jesus Christ,-004-01-01,030-04-03,Jewish,"Central figure of Christianity; Jewish preacher whose teachings on love, forgiveness, and salvation formed the basis of Christian theology.",Middle East,Religion,
Paul the Apostle,005-01-01,067-01-01,Jewish-Roman,Early Christian missionary whose epistles comprise much of the New Testament; transformed Christianity from Jewish sect to world religion.,Middle East,Religion,
Augustine of Hippo,354-11-13,430-08-28,Roman-African,Bishop and theologian whose works including Confessions and City of God shaped Christian doctrine and Western philosophy.,Africa,Religion,
Phidias,-480-01-01,-430-01-01,Greek,Greatest sculptor of classical Greece; created the statue of Zeus at Olympia (one of Seven Wonders) and supervised Parthenon sculptures.,Europe,Visual Arts,
Praxiteles,-400-01-01,-330-01-01,Greek,"Greek sculptor who pioneered naturalistic and graceful style; famous for Aphrodite of Knidos, first major nude female statue.",Europe,Visual Arts,
Homer,-800-01-01,-750-01-01,Greek,"Epic poet attributed with composing the Iliad and Odyssey, foundational works of Western literature. Historical existence debated but influence undeniable.",Europe,Literature,
